time_sec,stance
0.0,Right-Handed
0.1,Right-Handed
0.1,Right-Handed
0.1,Right-Handed
0.2,Right-Handed
0.2,Right-Handed
0.2,Right-Handed
0.3,Right-Handed
0.3,Right-Handed
0.3,Right-Handed
0.4,Right-Handed
0.4,Right-Handed
0.4,Right-Handed
0.5,Right-Handed
0.5,Right-Handed
0.5,Right-Handed
0.6,Right-Handed
0.6,Right-Handed
0.6,Right-Handed
0.7,Right-Handed
0.7,Right-Handed
0.7,Right-Handed
0.8,Right-Handed
0.8,Right-Handed
0.8,Right-Handed
0.9,Right-Handed
0.9,Right-Handed
0.9,Right-Handed
1.0,Right-Handed
1.0,Right-Handed
1.0,Right-Handed
1.1,Right-Handed
1.1,Right-Handed
1.1,Right-Handed
1.2,Right-Handed
1.2,Right-Handed
1.2,Right-Handed
1.3,Right-Handed
1.3,Right-Handed
1.3,Right-Handed
1.4,Right-Handed
1.4,Right-Handed
1.4,Right-Handed
1.5,Right-Handed
1.5,Right-Handed
1.5,Right-Handed
1.6,Right-Handed
1.6,Right-Handed
1.6,Right-Handed
1.7,Right-Handed
1.7,Right-Handed
1.7,Right-Handed
1.8,Left-Handed
1.8,Left-Handed
1.8,Left-Handed
1.9,Left-Handed
1.9,Left-Handed
1.9,Left-Handed
2.0,Left-Handed
2.0,Left-Handed
2.0,Left-Handed
2.1,Left-Handed
2.1,Left-Handed
2.1,Left-Handed
2.2,Left-Handed
2.2,Left-Handed
2.2,Left-Handed
2.3,Left-Handed
2.3,Left-Handed
2.3,Left-Handed
2.4,Left-Handed
2.4,Left-Handed
2.4,Left-Handed
2.5,Left-Handed
2.5,Left-Handed
2.5,Left-Handed
2.6,Left-Handed
2.6,Left-Handed
2.6,Left-Handed
2.7,Left-Handed
2.7,Left-Handed
2.7,Left-Handed
2.8,Left-Handed
2.8,Left-Handed
2.8,Left-Handed
2.9,Left-Handed
2.9,Left-Handed
2.9,Left-Handed
3.0,Left-Handed
3.0,Left-Handed
3.0,Left-Handed
3.1,Left-Handed
3.1,Left-Handed
3.1,Left-Handed
3.2,Left-Handed
3.2,Left-Handed
3.2,Left-Handed
3.3,Left-Handed
3.3,Left-Handed
3.3,Left-Handed
3.4,Left-Handed
3.4,Left-Handed
3.4,Left-Handed
3.5,Left-Handed
3.5,Left-Handed
3.5,Left-Handed
3.6,Left-Handed
3.6,Left-Handed
3.6,Left-Handed
3.7,Left-Handed
3.7,Left-Handed
3.7,Left-Handed
3.8,Left-Handed
3.8,Left-Handed
3.8,Left-Handed
3.9,Left-Handed
3.9,Left-Handed
3.9,Left-Handed
4.0,Left-Handed
4.0,Left-Handed
4.0,Left-Handed
